image_index,concept,verdict,macro_cluster
3,linear scarring and calcified granulomas present in the upper lung zones.,Uncertain,1
3,miliary lupoid of boeck,Uncertain,1
3,multiple ring shadows and tubular opacities consistent with widespread cystic bronchiectasis.,Uncertain,0
3,tortuous thoracic aorta with extensive mural calcification along the aortic knob.,Unaligned,0
4,confluent airspace opacification present within the left lower lobe segment.,Uncertain,0
4,confluent airspace opacities identified throughout the right middle and lower lobes.,Uncertain,0
4,diffuse fine reticulonodular opacities distributed throughout both mid and upper lung zones.,Uncertain,1
4,diffuse miliary pattern of tiny rounded opacities throughout the pulmonary parenchyma.,Uncertain,0
4,"fibroses, pulmonary",Uncertain,0
4,obliteration of the costophrenic sulcus consistent with pleural fluid collection.,Uncertain,0
4,single focal pulmonary nodule noted within the peripheral lung parenchyma.,Uncertain,0
4,tortuous thoracic aorta with extensive mural calcification along the aortic knob.,Unaligned,0
4,well-defined costophrenic sulcus with normal contour and sharp margins.,Aligned,4
5,complete disruption of the normal anatomical alignment of the sternoclavicular joint.,Unaligned,1
5,confluent airspace opacification present within the left lower lobe segment.,Uncertain,0
5,dense calcified plaques identified along the margins of the thoracic aorta.,Unaligned,0
5,large air filled bullae are identified within the apical lung regions.,Unaligned,0
5,lucent fracture line extending through the mid shaft of the left humerus.,Unaligned,2
5,patchy opacification identified throughout the mid to lower zones of the lung.,Uncertain,0
5,solitary circumscribed mass lesion projecting over the right mid lung zone.,Uncertain,0
5,the cervical spine demonstrates normal alignment and intact bony cortical margins throughout.,Uncertain,2
5,tortuous thoracic aorta with extensive mural calcification along the aortic knob.,Unaligned,0
5,visualized thoracic skeletal deformity with abnormal configuration of the bony thorax.,Uncertain,2
6,chronic irreversible airway obstruction,Uncertain,0
6,dense calcified plaques identified along the margins of the thoracic aorta.,Unaligned,0
6,free intraperitoneal air collection noted tracking along the superior hepatic surface.,Unaligned,3
6,gallstone diseases,Uncertain,5
6,single focal pulmonary nodule noted within the peripheral lung parenchyma.,Uncertain,0
6,the cervical spine demonstrates normal alignment and intact bony cortical margins throughout.,Uncertain,2
6,the diaphragm maintains a smooth arcuate contour across the lower thoracic cavity.,Aligned,3
6,tortuous thoracic aorta with extensive mural calcification along the aortic knob.,Unaligned,0
6,unexpanded lung,Uncertain,0
6,visualized thoracic skeletal deformity with abnormal configuration of the bony thorax.,Uncertain,2
7,central mediastinal structures maintain a normal position without evidence of abnormal widening.,Aligned,0
7,cervical spines,Uncertain,2
7,chronic irreversible airway obstruction,Uncertain,0
7,complete disruption of the normal anatomical alignment of the sternoclavicular joint.,Unaligned,1
7,focal pulmonary opacity with smooth margins located in the left upper lobe.,Uncertain,0
7,lucent fracture line extending through the mid shaft of the left humerus.,Unaligned,2
7,multiple avascular lucent spaces are present throughout the upper pulmonary lobes.,Uncertain,0
7,single focal pulmonary nodule noted within the peripheral lung parenchyma.,Uncertain,0
7,the costophrenic angles are preserved and show no signs of pleural fluid accumulation.,Aligned,4
7,visualized thoracic skeletal deformity with abnormal configuration of the bony thorax.,Aligned,2
8,a solitary well-defined nodule with central dense calcification is noted.,Uncertain,0
8,a solitary well-defined rounded opacity is noted within the right upper lobe.,Uncertain,0
8,abnormal separation of the articular surfaces within the acromioclavicular joint.,Uncertain,1
8,atheroscleroses,Uncertain,0
8,"disease, forestier's",Uncertain,2
8,focal pulmonary opacity with smooth margins located in the left upper lobe.,Uncertain,0
8,gallstone diseases,Uncertain,5
8,layering opacity along the lateral chest wall indicates pleural effusion.,Uncertain,0
8,smooth tracheal walls are identified extending inferiorly toward the level of the carina.,Uncertain,0
8,thoracic aorta appears as a well defined tubular structure within the superior mediastinum.,Uncertain,0
9,abnormal separation of the articular surfaces within the acromioclavicular joint.,Uncertain,1
9,cardiomegaly with prominent pulmonary vascular congestion and bilateral perihilar interstitial opacities.,Uncertain,0
9,fibrocystic disease,Uncertain,0
9,hemopneumothorax,Unaligned,0
9,miliary lupoid of boeck,Uncertain,1
9,normal midline position of the trachea with a well defined tracheal air column.,Aligned,0
9,patchy consolidations with cavitation identified in the right upper lung field.,Uncertain,1
9,regional hyperlucency of the upper lung zone with decreased density of pulmonary vasculature.,Uncertain,0
9,smooth tracheal walls are identified extending inferiorly toward the level of the carina.,Uncertain,0
9,the thoracic aorta maintains a smooth lateral contour along the upper mediastinal stripe.,Aligned,0
