phrase_index,parent_concept,text,text_source,cui,umls_status
55,pulmonary atelectasis,homogeneous opacity with ipsilateral mediastinal shift indicating significant lobar collapse.,llm_radiology_phrase,C0004144,ok
56,calcified granuloma,calcified granuloma,umls_synonym,C0333404,ok
57,calcified granuloma,a solitary well-defined nodule with central dense calcification is noted.,llm_radiology_phrase,C0333404,ok
58,calcified granuloma,small punctate calcified opacity seen within the right upper lung zone.,llm_radiology_phrase,C0333404,ok
59,calcified granuloma,dense calcified nodular opacity identified in the left mid lung field.,llm_radiology_phrase,C0333404,ok
60,calcified granuloma,multiple small calcified granulomas scattered throughout the bilateral lung parenchyma.,llm_radiology_phrase,C0333404,ok
61,calcified granuloma,discrete rounded opacity with dense central calcification in the lung apex.,llm_radiology_phrase,C0333404,ok
62,thoracic vertebrae,thoracic vertebrae,umls_synonym,C0039987,ok
63,thoracic vertebrae,bone structure of thoracic vertebra,umls_synonym,C0039987,ok
64,thoracic vertebrae,dorsal vertebra,umls_synonym,C0039987,ok
65,thoracic vertebrae,thoracic vertebra,umls_synonym,C0039987,ok
66,thoracic vertebrae,"vertebrae, thoracic",umls_synonym,C0039987,ok
67,thoracic vertebrae,thoracic vertebrae are visualized as a vertical column of stacked bony segments.,llm_radiology_phrase,C0039987,ok
68,thoracic vertebrae,the thoracic vertebrae demonstrate normal alignment along the posterior midline of the chest.,llm_radiology_phrase,C0039987,ok
69,thoracic vertebrae,individual thoracic vertebrae appear as distinct rectangular opacities within the central mediastinal shadow.,llm_radiology_phrase,C0039987,ok
70,thoracic vertebrae,normal bony architecture of the thoracic vertebrae is maintained throughout the visualized spine.,llm_radiology_phrase,C0039987,ok
71,thoracic vertebrae,the thoracic vertebrae exhibit uniform density and intact cortical margins on the radiograph.,llm_radiology_phrase,C0039987,ok
72,pulmonary cicatrix,pulmonary cicatrix,umls_synonym,,no_cui_match
73,pulmonary cicatrix,linear opacity consistent with focal pulmonary scarring in the right upper lobe.,llm_radiology_phrase,,no_cui_match
74,pulmonary cicatrix,well defined linear density representing parenchymal scarring within the left lung apex.,llm_radiology_phrase,,no_cui_match
75,pulmonary cicatrix,focal area of increased density suggesting pulmonary cicatrix in the right midzone.,llm_radiology_phrase,,no_cui_match
76,pulmonary cicatrix,persistent linear opacity indicative of localized pulmonary scarring in the left base.,llm_radiology_phrase,,no_cui_match
77,pulmonary cicatrix,small focal area of increased density consistent with pulmonary cicatrix formation.,llm_radiology_phrase,,no_cui_match
78,spine,spine,umls_synonym,C0037949,ok
79,spine,"column, spinal",umls_synonym,C0037949,ok
80,spine,vertebral columns,umls_synonym,C0037949,ok
81,spine,"columns, spinal",umls_synonym,C0037949,ok
82,spine,spinal columns,umls_synonym,C0037949,ok
83,spine,"column, vertebral",umls_synonym,C0037949,ok
84,spine,spinal column,umls_synonym,C0037949,ok
85,spine,vertebral column,umls_synonym,C0037949,ok
86,spine,backbone,umls_synonym,C0037949,ok
87,spine,"columns, vertebral",umls_synonym,C0037949,ok
88,spine,structure of vertebral column,umls_synonym,C0037949,ok
89,spine,the vertebral column maintains normal alignment without evidence of focal bony destruction.,llm_radiology_phrase,C0037949,ok
90,spine,visualized segments of the thoracic spine demonstrate preserved height and normal density.,llm_radiology_phrase,C0037949,ok
91,spine,the spinal column shows intact vertebral bodies with well maintained intervertebral disc spaces.,llm_radiology_phrase,C0037949,ok
92,spine,normal curvature of the thoracic spine is noted on the frontal chest projection.,llm_radiology_phrase,C0037949,ok
93,spine,the vertebral column appears intact with no evidence of acute fracture or deformity.,llm_radiology_phrase,C0037949,ok
94,bronchovascular markings,bronchovascular markings,umls_synonym,,no_cui_match
95,bronchovascular markings,bronchovascular markings appear prominent throughout the bilateral lung fields.,llm_radiology_phrase,,no_cui_match
96,bronchovascular markings,increased bronchovascular markings are noted extending toward the lung periphery.,llm_radiology_phrase,,no_cui_match
97,bronchovascular markings,bronchovascular markings are within normal limits throughout both lungs.,llm_radiology_phrase,,no_cui_match
98,bronchovascular markings,coarse bronchovascular markings are visualized radiating from the pulmonary hila.,llm_radiology_phrase,,no_cui_match
99,bronchovascular markings,accentuated bronchovascular markings are present in the lower lung zones.,llm_radiology_phrase,,no_cui_match
100,pleural effusion,pleural effusion,umls_synonym,C0032227,ok
101,pleural effusion,"effusion, pleural",umls_synonym,C0032227,ok
102,pleural effusion,pleural effusions,umls_synonym,C0032227,ok
103,pleural effusion,pleural effusion (disorder),umls_synonym,C0032227,ok
104,pleural effusion,"effusions, pleural",umls_synonym,C0032227,ok
105,pleural effusion,blunting of the costophrenic angle suggests a small pleural effusion.,llm_radiology_phrase,C0032227,ok
106,pleural effusion,homogeneous opacification noted at the lung base with meniscus sign.,llm_radiology_phrase,C0032227,ok
107,pleural effusion,increased density obscuring the hemidiaphragm consistent with pleural fluid.,llm_radiology_phrase,C0032227,ok
108,pleural effusion,layering opacity along the lateral chest wall indicates pleural effusion.,llm_radiology_phrase,C0032227,ok
109,pleural effusion,obliteration of the costophrenic sulcus consistent with pleural fluid collection.,llm_radiology_phrase,C0032227,ok
110,aorta,aorta,umls_synonym,C0003483,ok
111,aorta,aortic structure,umls_synonym,C0003483,ok
112,aorta,aortas,umls_synonym,C0003483,ok
113,aorta,aortic structure (body structure),umls_synonym,C0003483,ok
114,aorta,the thoracic aorta follows a normal contour within the mediastinal silhouette.,llm_radiology_phrase,C0003483,ok
115,aorta,normal aortic arch shadow is visualized along the superior mediastinal border.,llm_radiology_phrase,C0003483,ok
116,aorta,the descending aorta is identified as a linear opacity along the spine.,llm_radiology_phrase,C0003483,ok
117,aorta,aortic knob appears as a well defined opacity in the superior mediastinum.,llm_radiology_phrase,C0003483,ok
118,aorta,the aortic silhouette maintains a normal configuration within the central mediastinal space.,llm_radiology_phrase,C0003483,ok
119,thoracic diaphragm,thoracic diaphragm,umls_synonym,C0011980,ok
120,thoracic diaphragm,respiratory diaphragms,umls_synonym,C0011980,ok
121,thoracic diaphragm,respiratory diaphragm,umls_synonym,C0011980,ok
122,thoracic diaphragm,diaphragm structure (body structure),umls_synonym,C0011980,ok
123,thoracic diaphragm,"diaphragms, respiratory",umls_synonym,C0011980,ok
124,thoracic diaphragm,diaphragm,umls_synonym,C0011980,ok
125,thoracic diaphragm,diaphragms,umls_synonym,C0011980,ok
126,thoracic diaphragm,diaphragm structure,umls_synonym,C0011980,ok
127,thoracic diaphragm,"diaphragm, respiratory",umls_synonym,C0011980,ok
128,thoracic diaphragm,the diaphragm appears as a smooth dome shaped opacity at the lung base.,llm_radiology_phrase,C0011980,ok
129,thoracic diaphragm,normal contour of the bilateral diaphragmatic leaflets is well defined and intact.,llm_radiology_phrase,C0011980,ok
130,thoracic diaphragm,the diaphragm is visualized as a thin curvilinear opacity above the upper abdomen.,llm_radiology_phrase,C0011980,ok
131,thoracic diaphragm,bilateral diaphragmatic domes are smooth with sharp costophrenic angles on frontal view.,llm_radiology_phrase,C0011980,ok
132,thoracic diaphragm,the diaphragm maintains a smooth arcuate contour across the lower thoracic cavity.,llm_radiology_phrase,C0011980,ok
133,lung density,lung density,umls_synonym,C0746094,ok
134,lung density,increased opacity noted within the right lower lobe lung parenchyma.,llm_radiology_phrase,C0746094,ok
135,lung density,focal area of increased density identified in the left mid lung zone.,llm_radiology_phrase,C0746094,ok
136,lung density,patchy areas of increased lung density observed throughout the right lung field.,llm_radiology_phrase,C0746094,ok
137,lung density,ill defined increased density noted within the left upper lobe region.,llm_radiology_phrase,C0746094,ok
138,lung density,homogeneous increased density involving the retrocardiac portion of the left lower lobe.,llm_radiology_phrase,C0746094,ok
139,atherosclerosis,atherosclerosis,umls_synonym,C0004153,ok
140,atherosclerosis,atheromatosis,umls_synonym,C0004153,ok
141,atherosclerosis,atherosclerosis (morphologic abnormality),umls_synonym,C0004153,ok
142,atherosclerosis,atheroscleroses,umls_synonym,C0004153,ok
143,atherosclerosis,prominent calcification noted along the aortic arch and descending thoracic aorta.,llm_radiology_phrase,C0004153,ok
144,atherosclerosis,linear calcific densities visible along the contour of the thoracic aorta.,llm_radiology_phrase,C0004153,ok
145,atherosclerosis,increased density and tortuosity of the thoracic aorta consistent with atherosclerotic disease.,llm_radiology_phrase,C0004153,ok
146,atherosclerosis,dense calcified plaques identified along the margins of the thoracic aorta.,llm_radiology_phrase,C0004153,ok
147,atherosclerosis,tortuous thoracic aorta with extensive mural calcification along the aortic knob.,llm_radiology_phrase,C0004153,ok
148,thoracic skeletal deformity,thoracic skeletal deformity,umls_synonym,,no_cui_match
149,thoracic skeletal deformity,abnormal curvature of the thoracic spine noted on the frontal chest radiograph.,llm_radiology_phrase,,no_cui_match
150,thoracic skeletal deformity,asymmetric alignment of the posterior ribs suggests underlying thoracic skeletal deformity.,llm_radiology_phrase,,no_cui_match
151,thoracic skeletal deformity,prominent thoracic cage deformity with altered orientation of the rib segments.,llm_radiology_phrase,,no_cui_match
152,thoracic skeletal deformity,visualized thoracic skeletal deformity with abnormal configuration of the bony thorax.,llm_radiology_phrase,,no_cui_match
153,thoracic skeletal deformity,marked thoracic skeletal deformity with altered contour of the bony chest wall.,llm_radiology_phrase,,no_cui_match
154,pulmonary airspace disease,pulmonary airspace disease,umls_synonym,,no_cui_match
155,pulmonary airspace disease,ill-defined patchy opacities noted within the bilateral lower lung zones.,llm_radiology_phrase,,no_cui_match
156,pulmonary airspace disease,confluent airspace opacities identified throughout the right middle and lower lobes.,llm_radiology_phrase,,no_cui_match
157,pulmonary airspace disease,diffuse ground glass opacities present throughout both pulmonary fields.,llm_radiology_phrase,,no_cui_match
158,pulmonary airspace disease,segmental airspace consolidation observed in the left upper lobe periphery.,llm_radiology_phrase,,no_cui_match
159,pulmonary airspace disease,multifocal airspace opacities distributed across the bilateral lung parenchyma.,llm_radiology_phrase,,no_cui_match
160,scoliosis,scoliosis,umls_synonym,C0036439,ok
161,scoliosis,scoliosis deformity of spine (disorder),umls_synonym,C0036439,ok
162,scoliosis,scolioses,umls_synonym,C0036439,ok
163,scoliosis,scoliosis deformity of spine,umls_synonym,C0036439,ok
164,scoliosis,thoracic spine demonstrates a lateral curvature with associated vertebral rotation.,llm_radiology_phrase,C0036439,ok
165,scoliosis,the thoracic spine shows a mild lateral deviation from the midline.,llm_radiology_phrase,C0036439,ok
166,scoliosis,lateral curvature of the thoracic spine is noted on the frontal view.,llm_radiology_phrase,C0036439,ok
167,scoliosis,there is a visible lateral curvature involving the thoracic vertebral column.,llm_radiology_phrase,C0036439,ok
168,scoliosis,frontal chest radiograph reveals a lateral curvature of the thoracic spine.,llm_radiology_phrase,C0036439,ok
169,pulmonary nodule,pulmonary nodule,umls_synonym,C0034079,ok
170,pulmonary nodule,nodule of lung,umls_synonym,C0034079,ok
171,pulmonary nodule,nodule of lung (disorder),umls_synonym,C0034079,ok
172,pulmonary nodule,a solitary well-defined rounded opacity is noted within the right upper lobe.,llm_radiology_phrase,C0034079,ok
173,pulmonary nodule,small focal nodular density identified in the left lower lung field.,llm_radiology_phrase,C0034079,ok
174,pulmonary nodule,discrete rounded pulmonary opacity measuring less than three centimeters in diameter.,llm_radiology_phrase,C0034079,ok
175,pulmonary nodule,well-circumscribed nodular opacity projected over the mid lung zone.,llm_radiology_phrase,C0034079,ok
176,pulmonary nodule,single focal pulmonary nodule noted within the peripheral lung parenchyma.,llm_radiology_phrase,C0034079,ok
177,granulomatous disease,granulomatous disease,umls_synonym,C0740451,ok
178,granulomatous disease,granulomatous disorder,umls_synonym,C0740451,ok
179,granulomatous disease,multiple small ill-defined nodular opacities scattered throughout both lung fields.,llm_radiology_phrase,C0740451,ok
180,granulomatous disease,numerous discrete pulmonary nodules noted within the bilateral mid and upper zones.,llm_radiology_phrase,C0740451,ok
181,granulomatous disease,diffuse miliary pattern of tiny rounded opacities throughout the pulmonary parenchyma.,llm_radiology_phrase,C0740451,ok
182,granulomatous disease,multiple well-circumscribed pulmonary nodules identified in the bilateral lung fields.,llm_radiology_phrase,C0740451,ok
183,granulomatous disease,small clustered nodular densities distributed throughout the bilateral pulmonary segments.,llm_radiology_phrase,C0740451,ok
184,bone fracture,bone fracture,umls_synonym,C0016658,ok
185,bone fracture,fracture (morphologic abnormality),umls_synonym,C0016658,ok
186,bone fracture,"bone, broken",umls_synonym,C0016658,ok
187,bone fracture,broken bones,umls_synonym,C0016658,ok
188,bone fracture,"bones, broken",umls_synonym,C0016658,ok
189,bone fracture,fracture of bone,umls_synonym,C0016658,ok
190,bone fracture,fracture,umls_synonym,C0016658,ok
191,bone fracture,"fracture, bone",umls_synonym,C0016658,ok
192,bone fracture,broken bone,umls_synonym,C0016658,ok
193,bone fracture,fracture of bone (disorder),umls_synonym,C0016658,ok
194,bone fracture,"fractures, bone",umls_synonym,C0016658,ok
195,bone fracture,bone fractures,umls_synonym,C0016658,ok
196,bone fracture,linear lucent line traversing the mid portion of the right sixth rib.,llm_radiology_phrase,C0016658,ok
197,bone fracture,displaced cortical discontinuity noted along the lateral aspect of the left clavicle.,llm_radiology_phrase,C0016658,ok
198,bone fracture,focal cortical step-off identified involving the posterior arc of the third rib.,llm_radiology_phrase,C0016658,ok
199,bone fracture,lucent fracture line extending through the mid shaft of the left humerus.,llm_radiology_phrase,C0016658,ok
200,bone fracture,abrupt cortical interruption observed along the superior margin of the right scapula.,llm_radiology_phrase,C0016658,ok
201,"aorta, thoracic","aorta, thoracic",umls_synonym,C1522460,ok
202,"aorta, thoracic",thoracic aorta structure,umls_synonym,C1522460,ok
203,"aorta, thoracic",thoracic aorta structure (body structure),umls_synonym,C1522460,ok
204,"aorta, thoracic",thoracic aorta,umls_synonym,C1522460,ok
205,"aorta, thoracic",the thoracic aorta follows a normal mediastinal contour along the left heart border.,llm_radiology_phrase,C1522460,ok
206,"aorta, thoracic",thoracic aorta appears as a well defined tubular structure within the superior mediastinum.,llm_radiology_phrase,C1522460,ok
207,"aorta, thoracic",normal mediastinal silhouette demonstrates the expected arch of the thoracic aorta.,llm_radiology_phrase,C1522460,ok
208,"aorta, thoracic",the thoracic aorta maintains a smooth lateral contour along the upper mediastinal stripe.,llm_radiology_phrase,C1522460,ok
209,"aorta, thoracic",visualized thoracic aorta shows normal caliber and expected position within the mediastinum.,llm_radiology_phrase,C1522460,ok
210,costophrenic angle,costophrenic angle,umls_synonym,C0230151,ok
211,costophrenic angle,structure of costophrenic angle,umls_synonym,C0230151,ok
212,costophrenic angle,the bilateral costophrenic angles are sharp and well defined on the frontal view.,llm_radiology_phrase,C0230151,ok
213,costophrenic angle,normal appearance of the costophrenic angles with no evidence of blunting or opacification.,llm_radiology_phrase,C0230151,ok
214,costophrenic angle,the costophrenic angles appear clear and demonstrate normal acute contour on both sides.,llm_radiology_phrase,C0230151,ok
215,costophrenic angle,well maintained costophrenic angles are noted throughout the lower lung zones bilaterally.,llm_radiology_phrase,C0230151,ok
216,costophrenic angle,the costophrenic angles are preserved and show no signs of pleural fluid accumulation.,llm_radiology_phrase,C0230151,ok
217,osteophyte,osteophyte,umls_synonym,C1956089,ok
218,osteophyte,osteophyte of bone,umls_synonym,C1956089,ok
219,osteophyte,osteophytes,umls_synonym,C1956089,ok
220,osteophyte,osteophyte of bone (disorder),umls_synonym,C1956089,ok
221,osteophyte,bone spurs,umls_synonym,C1956089,ok
222,osteophyte,bone spur,umls_synonym,C1956089,ok
223,osteophyte,"spurs, bone",umls_synonym,C1956089,ok
224,osteophyte,"spur, bone",umls_synonym,C1956089,ok
225,osteophyte,osteophyte (morphologic abnormality),umls_synonym,C1956089,ok
226,osteophyte,bony spur,umls_synonym,C1956089,ok
227,osteophyte,osteophyma,umls_synonym,C1956089,ok
228,osteophyte,small bony spurs project from the anterior margins of the thoracic vertebral bodies.,llm_radiology_phrase,C1956089,ok
229,osteophyte,prominent osteophytes are noted along the lateral aspects of the mid thoracic spine.,llm_radiology_phrase,C1956089,ok
230,osteophyte,multiple bony spurs are identified along the superior and inferior vertebral endplates.,llm_radiology_phrase,C1956089,ok
231,osteophyte,small osteophytic projections are visible along the anterior thoracic vertebral column margins.,llm_radiology_phrase,C1956089,ok
232,osteophyte,discrete bony spurs are present along the lateral borders of the thoracic vertebrae.,llm_radiology_phrase,C1956089,ok
233,pulmonary congestion,pulmonary congestion,umls_synonym,C0242073,ok
234,pulmonary congestion,pulmonary congestion (disorder),umls_synonym,C0242073,ok
235,pulmonary congestion,increased prominence of central pulmonary vasculature with indistinct vascular margins noted bilaterally.,llm_radiology_phrase,C0242073,ok
236,pulmonary congestion,bilateral perihilar vascular congestion with associated hazy peribronchial cuffing throughout both lungs.,llm_radiology_phrase,C0242073,ok
237,pulmonary congestion,prominent pulmonary vascular markings extending into the peripheral lung fields bilaterally.,llm_radiology_phrase,C0242073,ok
238,pulmonary congestion,increased interstitial markings with indistinct vascular contours consistent with pulmonary venous congestion.,llm_radiology_phrase,C0242073,ok
239,pulmonary congestion,diffuse increase in pulmonary vascular density with blurred margins of the central vessels.,llm_radiology_phrase,C0242073,ok
240,spondylosis,spondylosis,umls_synonym,C0038019,ok
241,spondylosis,spondylosis (disorder),umls_synonym,C0038019,ok
242,spondylosis,degenerative changes noted along the thoracic spine with associated osteophyte formation.,llm_radiology_phrase,C0038019,ok
243,spondylosis,prominent anterior osteophytes identified along the mid to lower thoracic vertebral bodies.,llm_radiology_phrase,C0038019,ok
244,spondylosis,vertebral endplate sclerosis and marginal osteophytes present throughout the thoracic spine.,llm_radiology_phrase,C0038019,ok
245,spondylosis,thoracic spine demonstrates multilevel osteophyte formation and narrowing of the disc spaces.,llm_radiology_phrase,C0038019,ok
246,spondylosis,increased density and marginal spurring observed along the thoracic vertebral column.,llm_radiology_phrase,C0038019,ok
247,pulmonary infiltrate,pulmonary infiltrate,umls_synonym,C0235896,ok
248,pulmonary infiltrate,ill-defined patchy opacities noted within the right lower lung zone.,llm_radiology_phrase,C0235896,ok
249,pulmonary infiltrate,focal area of increased density identified in the left mid lung field.,llm_radiology_phrase,C0235896,ok
250,pulmonary infiltrate,hazy increased opacity observed throughout the right upper lobe region.,llm_radiology_phrase,C0235896,ok
251,pulmonary infiltrate,confluent airspace opacification present within the left lower lobe segment.,llm_radiology_phrase,C0235896,ok
252,pulmonary infiltrate,multifocal patchy densities scattered throughout both lower lung fields.,llm_radiology_phrase,C0235896,ok
253,emphysema,emphysema,umls_synonym,C0034067,ok
254,emphysema,"emphysema, pulmonary",umls_synonym,C0034067,ok
255,emphysema,pulmonary emphysema,umls_synonym,C0034067,ok
256,emphysema,"emphysemas, pulmonary",umls_synonym,C0034067,ok
257,emphysema,pulmonary emphysemas,umls_synonym,C0034067,ok
258,emphysema,emphysema of lung,umls_synonym,C0034067,ok
259,emphysema,pulmonary emphysema (disorder),umls_synonym,C0034067,ok
260,emphysema,hyperinflated lungs with flattened diaphragms and increased retrosternal airspace are noted.,llm_radiology_phrase,C0034067,ok
261,emphysema,diffuse pulmonary lucency with attenuation of peripheral vascular markings is present.,llm_radiology_phrase,C0034067,ok
262,emphysema,increased lung volumes with sparse peripheral vascularity consistent with pulmonary emphysema.,llm_radiology_phrase,C0034067,ok
263,emphysema,bilateral lung hyperinflation with associated flattening of the hemidiaphragms is observed.,llm_radiology_phrase,C0034067,ok
264,emphysema,marked pulmonary lucency with decreased peripheral vascular markings throughout both lungs.,llm_radiology_phrase,C0034067,ok
265,cardiac silhouette,cardiac silhouette,umls_synonym,C0507134,ok
266,cardiac silhouette,the cardiac silhouette appears within normal limits for size and contour.,llm_radiology_phrase,C0507134,ok
267,cardiac silhouette,well defined borders of the cardiac silhouette are noted on the frontal view.,llm_radiology_phrase,C0507134,ok
268,cardiac silhouette,the cardiac silhouette demonstrates a normal configuration and mediastinal position.,llm_radiology_phrase,C0507134,ok
269,cardiac silhouette,smooth lateral margins characterize the appearance of the cardiac silhouette.,llm_radiology_phrase,C0507134,ok
270,cardiac silhouette,the cardiac silhouette maintains a normal shape and central thoracic position.,llm_radiology_phrase,C0507134,ok
271,pleural thickening,pleural thickening,umls_synonym,C0264545,ok
272,pleural thickening,pleural cuirasse,umls_synonym,C0264545,ok
273,pleural thickening,thickening of pleura (disorder),umls_synonym,C0264545,ok
274,pleural thickening,thickening of pleura,umls_synonym,C0264545,ok
275,pleural thickening,linear soft tissue density along the lateral chest wall consistent with pleural thickening.,llm_radiology_phrase,C0264545,ok
276,pleural thickening,smooth pleural thickening noted along the peripheral lung margins on the frontal view.,llm_radiology_phrase,C0264545,ok
277,pleural thickening,increased density along the costal pleural surface suggesting localized pleural thickening.,llm_radiology_phrase,C0264545,ok
278,pleural thickening,diffuse pleural thickening observed along the lateral aspect of the thoracic cavity.,llm_radiology_phrase,C0264545,ok
279,pleural thickening,blunting of the costophrenic angle secondary to chronic pleural thickening and fibrosis.,llm_radiology_phrase,C0264545,ok
280,pulmonary granuloma,pulmonary granuloma,umls_synonym,C0235557,ok
281,pulmonary granuloma,pulmonary granuloma (disorder),umls_synonym,C0235557,ok
282,pulmonary granuloma,a well-defined solitary pulmonary nodule is noted in the right upper lobe.,llm_radiology_phrase,C0235557,ok
283,pulmonary granuloma,small calcified pulmonary granuloma identified within the left lower lobe lung field.,llm_radiology_phrase,C0235557,ok
284,pulmonary granuloma,discrete rounded opacity with central calcification seen in the right mid lung.,llm_radiology_phrase,C0235557,ok
285,pulmonary granuloma,multiple small dense pulmonary nodules scattered throughout both lung fields.,llm_radiology_phrase,C0235557,ok
286,pulmonary granuloma,focal pulmonary opacity with smooth margins located in the left upper lobe.,llm_radiology_phrase,C0235557,ok
287,"pulmonary disease, chronic obstructive","pulmonary disease, chronic obstructive",umls_synonym,C0024117,ok
288,"pulmonary disease, chronic obstructive",chronic obstructive pulmonary diseases,umls_synonym,C0024117,ok
289,"pulmonary disease, chronic obstructive",chronic obstructive lung disease,umls_synonym,C0024117,ok
290,"pulmonary disease, chronic obstructive",copd,umls_synonym,C0024117,ok
291,"pulmonary disease, chronic obstructive",chronic airflow limitation,umls_synonym,C0024117,ok
292,"pulmonary disease, chronic obstructive",chronic obstructive airway disease,umls_synonym,C0024117,ok
293,"pulmonary disease, chronic obstructive",coad,umls_synonym,C0024117,ok
294,"pulmonary disease, chronic obstructive",chronic obstructive pulmonary disease,umls_synonym,C0024117,ok
295,"pulmonary disease, chronic obstructive",chronic airway disease,umls_synonym,C0024117,ok
296,"pulmonary disease, chronic obstructive",chronic irreversible airway obstruction,umls_synonym,C0024117,ok
297,"pulmonary disease, chronic obstructive",chronic airway obstruction,umls_synonym,C0024117,ok
298,"pulmonary disease, chronic obstructive",hyperinflated lungs with flattened diaphragmatic contours and increased retrosternal clear space.,llm_radiology_phrase,C0024117,ok
299,"pulmonary disease, chronic obstructive",bilateral lung hyperinflation with increased lucency and attenuated peripheral vascular markings.,llm_radiology_phrase,C0024117,ok
300,"pulmonary disease, chronic obstructive",flattened hemidiaphragms with increased lung volumes and widened intercostal spaces noted.,llm_radiology_phrase,C0024117,ok
